
21:40:07.137469 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 222352:222532, ack 109, win 501, length 180
21:40:07.137506 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 222532:222712, ack 109, win 501, length 180
21:40:07.137540 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 222712:222892, ack 109, win 501, length 180
21:40:07.137573 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 222892:223072, ack 109, win 501, length 180
21:40:07.137607 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 223072:223252, ack 109, win 501, length 180
21:40:07.137642 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 223252:223432, ack 109, win 501, length 180
21:40:07.137675 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 223432:223612, ack 109, win 501, length 180
21:40:07.137710 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 223612:223792, ack 109, win 501, length 180
21:40:07.137744 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 223792:223972, ack 109, win 501, length 180
21:40:07.137779 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 223972:224152, ack 109, win 501, length 180
21:40:07.137866 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 38.113.181.243.53135: Flags [P.], seq 224152:224332, ack 109, win 501, length 180
